Dis No,Year,Disaster Type,Disaster Subtype,Country,Region,Continent,Associated Dis,Associated Dis2,Dis Mag Value,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2013-0381-PAK,2013,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,8,399,599,185150,,185749,116317,85.97164225
2013-0484-PAK,2013,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,7,22,50,,,50,,85.97164225
2013-0395-PHL,2013,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,230,976,3221248,,3222224,59856,85.97164225
2015-0476-AFG,2015,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,8,115,58080,,34645,92725,,87.46993221
2015-0571-AFG,2015,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,6,,12,,395,407,,87.46993221
2015-0144-BGD,2015,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,,,8,4,200,,,200,,87.46993221
2016-0002-BGD,2016,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,,,7,5,70,,,70,,88.57345288
2014-0054-IRN,2014,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,1,30,300,,330,2289,87.36629784
2014-0287-IRN,2014,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,,250,,12000,12250,49218,87.36629784
2014-0159-THA,2014,Earthquake,Ground movement,Thailand,South-Eastern Asia,Asia,,,6,1,23,17500,,17523,70966,87.36629784
2015-0216-MYS,2015,Earthquake,Ground movement,Malaysia,South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,6,24,10,,,10,2,87.46993221
2015-0144-NPL,2015,Earthquake,Ground movement,Nepal,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,8,8831,17932,5621790,,5639722,5915176,87.46993221
2015-0175-NPL,2015,Earthquake,Ground movement,Nepal,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,7,138,2428,,,2428,,87.46993221
2015-0415-IDN,2015,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,,62,12185,,12247,,87.46993221
2015-0144-IND,2015,Earthquake,Ground movement,India,Southern Asia,Asia,,,8,78,560,,,560,,87.46993221
2015-0175-IND,2015,Earthquake,Ground movement,India,Southern Asia,Asia,,,7,20,,,,,,87.46993221
2015-0476-IND,2015,Earthquake,Ground movement,India,Southern Asia,Asia,,,8,,10,,,10,,87.46993221
2015-0476-PAK,2015,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,8,280,1745,366945,133900,502590,,87.46993221
2015-0571-PAK,2015,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,6,3,85,,,85,,87.46993221
2015-0454-PAK,2015,Mass movement (dry),Rockfall,Pakistan,Southern Asia,Asia,,,,13,,,,,,87.46993221
2016-0019-IDN,2016,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,8,360,,368,,88.57345288
2016-0002-IND,2016,Earthquake,Ground movement,India,Southern Asia,Asia,,,7,8,308,10500,,10808,84675,88.57345288
2016-0100-PAK,2016,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,7,6,42,100,,142,,88.57345288
2015-0608-TLS,2015,Earthquake,Ground movement,Timor-Leste,South-Eastern Asia,Asia,,,7,,3,,2000,2003,4573,87.46993221
2016-0458-IDN,2016,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,,3410,,3410,,88.57345288
2016-0475-IDN,2016,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,104,857,85161,,86018,112901,88.57345288
2016-0383-MMR,2016,Earthquake,Ground movement,Myanmar,South-Eastern Asia,Asia,,,7,4,2,1150,,1152,11290,88.57345288
2016-0537-PHL,2016,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,8,202,,,202,,88.57345288
2017-0140-PHL,2017,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,6,,,25000,,25000,2211,90.46017931
2017-0530-IDN,2017,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,4,36,8859,,8895,,90.46017931
2017-0204-IRN,2017,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,3,417,,1845,2262,2211,90.46017931
2017-0446-IRN,2017,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,7,444,9000,200000,,209000,818040,90.46017931
2017-0521-IRN,2017,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,5,2,120,,,120,,90.46017931
2017-0050-PHL,2017,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,8,202,16655,,16857,15448,90.46017931
2017-0247-PHL,2017,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,3,448,16052,,16500,4824,90.46017931
2018-0352-IDN,2018,Earthquake,Tsunami,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,Liquefaction,8,4140,,2000000,,2000000,1564697,92.6696698
2018-0257-IDN,2018,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,7,564,1584,445343,70000,516927,852490,92.6696698
2018-0031-IDN,2018,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,1,11,13800,,13811,86328,92.6696698
2018-0254-IDN,2018,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,14,135,102717,,102852,31294,92.6696698
2018-0302-IDN,2018,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,10,24,755,,779,5396,92.6696698
2018-0281-IRN,2018,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,,287,4755,,5042,10791,92.6696698
