Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Country,Associated Dis,Associated Dis2,Dis Mag Value,Dis Mag Scale,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
2017,Natural,Geophysical,Earthquake,Ground movement,,China,"Slide (land, mud, snow, rock)",,7,Richter,29,525,217500,300,218325,500000,552729,90.46017931
2017,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,1,,2105,2106,31000,34269,90.46017931
2017,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,8,23,,4560,4583,2000,2211,90.46017931
2017,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,3,23400,,23403,,,90.46017931
2018,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,,12000,,12000,29000,31294,92.6696698
2018,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,24,18000,,18024,50000,53955,92.6696698
2019,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,2,12,32733,27,32772,2000,2120,94.3490925
2016,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,6,Richter,,7,480,6,493,100000,112901,88.57345288
2016,Natural,Geophysical,Earthquake,Ground movement,,Korea (the Republic of),,,5,Richter,,32,29800,,29832,21000,23709,88.57345288
2017,Natural,Geophysical,Earthquake,Ground movement,,Korea (the Republic of),,,5,Richter,,57,5000,,5057,,,90.46017931
2018,Natural,Geophysical,Earthquake,Ground movement,,Japan,"Slide (land, mud, snow, rock)",,7,Richter,41,680,5600,,6280,1250000,1348877,92.6696698
2018,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,6,Richter,5,417,20298,,20715,3250000,3507081,92.6696698
2018,Natural,Geophysical,Earthquake,Ground movement,,Taiwan (Province of China),,,6,Richter,84,285,,,285,100000,107910,92.6696698
2019,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,13,220,244000,,244220,1300000,1377862,94.3490925
2019,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,1,63,15123,396,15582,,,94.3490925
2020,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,4,24,3300,,3324,17000,17799,95.51296742
2021,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,3,,195,,195,125000,125000,100
2021,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,3,28,39000,,39028,516000,516000,100
2021,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,2,8010,,8012,,,100
2021,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,3,88,21870,2437,24395,250000,250000,100
2021,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,,10,19200,,19210,71000,71000,100
2022,Natural,Geophysical,Earthquake,Ground movement,,China,,,5,Richter,,30,29000,,29030,51000,,
2022,Natural,Geophysical,Earthquake,Ground movement,,China,,,7,Richter,,9,26490,,26499,232000,,
2019,Natural,Geophysical,Earthquake,Ground movement,,Japan,"Slide (land, mud, snow, rock)",,6,Richter,,28,432,,460,,,94.3490925
2021,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,7,Richter,1,185,7647,60,7892,7700000,7700000,100
2021,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,7,Richter,,11,600,,611,550000,550000,100
2022,Natural,Geophysical,Earthquake,Ground movement,,China,,,6,Richter,4,41,13500,,13541,,,
2022,Natural,Geophysical,Earthquake,Ground movement,,Japan,,,7,Richter,3,183,558,,741,,,
